type,size,form,filling_id
Goldenglow,L,Rat,6666
Millet,XXS,Polar Bear,3334
Urn Plant,XXS,Horned lark,3335
Ginseng,XXXL,Frilled dragon,3336
Morning Glory,XS,Goliath heron,3337
Tulip,XXL,Emerald green tree boa,3338
Bee Balm Flower,XL,Arctic fox,3339
Bleeding Heart,XS,Coyote,3340
Snowflake,M,Black spider monkey,3341
Lily,XXXL,Horned lark,3342
Collard,XS,Ibex,3343
Kentia Palm Plant,XXS,Dromedary camel,3344
Symphytum,L,Calf,3345
Clarkia,S,Galapagos penguin,3346
Bilberry,XS,Zebra,3347
Collard,S,Worm,3348
Soapwort,S,European beaver,3349
Alstroemeria,XS,European red squirrel,3350
Water Lily,XS,Deer,3351
Lucky Bamboo,XL,Eastern cottontail rabbit,3352
Huckleberry,XXXL,Giant girdled lizard,3353
Primrose,XL,Blue wildebeest,3354
Gillyflower,S,Canadian river otter,3355
Dogwood,XXXL,Carmine bee-eater,3356
Filipendula,L,Elephant,3357
Manzanita,XS,Ibex,3358
Birch,M,squid,3359
Ambrosia,M,Chacma baboon,3360
Bellflower,M,Blue catfish,3361
Rosemary,M,Buttermilk snake,3362
Easter orchid,XL,Indian porcupine,3363
Vervain,XXL,Blue fox,3364
Tulip,XS,Fox,3365
Mugwort,L,Brown hyena,3366
Bellflower,L,Dama wallaby,3367
Gillyflower,XXL,Buttermilk snake,3368
Collard,XS,Gray rhea,3369
Chestnut,M,Dodo,3370
Columbine,XS,Common wolf,3371
Mangrove tree,M,Wombat,3372
Japanese Iris,XXL,Javan gold-spotted mongoose,3373
Cabbage,One Size,wasp,3374
Millet,S,Eurasian red squirrel,3375
Fellenwort,S,Gray rhea,3376
Silene,One Size,African lion,3377
Snowflake,XXL,Common langur,3378
Groundberry,L,Giraffe,3379
Fig,M,Bush dog,3380
Millet,M,Wallaby,3381
Lily,S,Sea Lion,3382
Silene,XS,Black-tailed prairie dog,3383
Millet,S,Common seal,3384
Bluebonnet,XXL,Kaffir cat,3385
Rose,M,Japanese macaque,3386
Bramble,One Size,Common pheasant,3387
Dumb Cane,M,Red Panda,3388
Lucky Bamboo,XXL,American buffalo,3389
Vervain,XXS,Dodo,3390
Fennel,XXL,Swan,3391
Daisy,M,Crested barbet,3392
Clarkia,XS,Common zebra,3393
Birch,S,Groundhog,3394
Fennel,XL,Badger,3395
Silene,XXS,Bobcat,3396
Tulip,S,Giant armadillo,3397
Apricot,L,Red Panda,3398
Fennel,XL,Helmeted guinea fowl,3399
Pansy,L,Great egret,3400
Millet,L,Eurasian hoopoe,3401
California sycamore,XXL,Mouse,3402
Candytuft,XXXL,Galapagos mockingbird,3403
Lucky Bamboo,XS,Desert tortoise,3404
Ginseng,XXXL,Eagle owl,3405
Silene,One Size,Galapagos penguin,3406
Ginseng,XXL,Eagle owl,3407
Columbine,XXL,Bushpig,3408
Kudzu,XL,Frilled lizard,3409
Periwinkle,S,Bison,3410
Columbine,XXXL,Buttermilk snake,3411
Chestnut,One Size,Common wolf,3412
Cactus,L,European badger,3413
Elephant Ear,XS,Kudu,3414
Aspen,M,Jungle cat,3415
Clarkia,XXL,Clown Fish,3416
Goldenrod,XL,Ant,3417
Chestnut,XXL,Red Panda,3418
Gillyflower,XXXL,Desert spiny lizard,3419
Groundberry,One Size,Gray langur,3420
Cotton plant,M,Chital,3421
Soapwort,M,Yak,3422
Shasta Daisy,L,Mouse,3423
Drumstick,XXXL,Hamster,3424
Dogwood,XXS,Fringe-eared oryx,3425
Rose,S,Eastern indigo snake,3426
Candytuft,XXL,Galapagos dove,3427
Filipendula,L,European badger,3428
Goldenglow,S,squid,3429
Fig,XL,Blue shark,3430
Dindle,XL,Polar Bear,3431
Candytuft,XL,Elephant,3432
Dogwood,XL,Zebu,3433
African Violet,XXXL,Common dolphin,3434
Filipendula,XXS,Gerenuk,3435
