name,price
Tic Tac,446
Lavazza,371
Heinz,174
KFC,86
Baskin robbins,144
Vitta Foods,421
Cobblestone,118
Doritos,311
Taco Bell,476
Lavazza,99
Nabisco,282
Doritos,411
Sun-Pat,392
Starbucks,329
Bewley's,152
Kits,329
Lavazza,121
Secret Recipe,216
Doritos,188
Secret Recipe,223
Cheetos,146
Andy Capp's fries,224
Dr. Oetker,148
Cobblestone,240
Wonder Bread,144
Wonder Bread,472
Soprole,304
LEonidas,205
Olymel,293
Carib Brewery,60
Pizza Hut,198
Cobblestone,457
Dr. Oetker,208
Cheetos,129
Tic Tac,199
Starbucks,153
Dunkin' Donuts,480
Sun-Pat,56
Knorr,185
Dunkin' Donuts,231
Burger King,264
Nabisco,288
Magnum,104
Nutella,401
M&M Food Market,478
Olymel,117
Red Lobster,173
Wendy's,119
Tic Tac,400
Nabisco,418
Bewley's,120
LEonidas,76
Cobblestone,127
Subway,389
KFC,295
McDonald's,450
Nutella,360
M&M Food Market,453
Carib Brewery,414
Carib Brewery,63
Domino,363
LEonidas,456
Dr. Oetker,382
Wendy's,218
KFC,261
Baskin robbins,74
Kits,417
Andy Capp's fries,171
Nutella,127
Red Lobster,344
Knorr,119
Knorr,73
Domino,179
Nabisco,285
Andy Capp's fries,101
Kits,78
Doritos,142
Pizza Hut,69
LEonidas,349
Nutella,311
Dr. Oetker,461
Magnum,261
Wonder Bread,254
Magnum,90
Kinder,197
Applebee's,466
M&M Food Market,240
Red Lobster,179
Tic Tac,286
Domino,439
McDonald's,271
Doritos,424
Wonder Bread,85
Lavazza,436
Domino,327
Doritos,159
Bel Group,332
McDonald's,462
Lavazza,216
Dunkin' Donuts,493
Domino,118
McDonald's,207
Baskin robbins,109
Domino,174
Wendy's,89
Olymel,73
Red Lobster,67
Carib Brewery,349
Red Lobster,489
Kits,197
Nesquik,484
Dunkin' Donuts,235
Dunkin' Donuts,384
Dunkin' Donuts,488
Nutella,176
KFC,268
Starbucks,264
Wonder Bread,205
Applebee's,205
Doritos,176
Sun-Pat,85
Knorr,208
Burger King,337
Kinder,152
Taco Bell,424
Doritos,216
Secret Recipe,194
Starbucks,273
McDonald's,87
Soprole,221
Cheetos,269
Lavazza,377
Baskin robbins,366
Olymel,376
Dunkin' Donuts,382
Andy Capp's fries,442
Subway,398
Soprole,58
Nesquik,183
Applebee's,499
Doritos,243
Burger King,92
LEonidas,308
Dr. Oetker,301
M&M Food Market,457
Knorr,461
Sun-Pat,196
Magnum,107
Soprole,105
Red Lobster,377
Cheetos,192
M&M Food Market,412
Dr. Oetker,422
Nesquik,292
M&M Food Market,439
Pizza Hut,141
Nesquik,371
Andy Capp's fries,69
Kits,164
Dr. Oetker,306
Papadopoulos,326
Baskin robbins,378
Starbucks,389
Nabisco,474
Vitta Foods,312
Subway,496
Carib Brewery,165
Papadopoulos,223
Knorr,331
KFC,389
Cheetos,333
KFC,376
Papadopoulos,338
Magnum,463
Dunkin' Donuts,392
Kits,264
Applebee's,337
Olymel,433
Olymel,437
Nutella,233
M&M Food Market,120
LEonidas,62
LEonidas,226
Nesquik,429
Olymel,181
Red Lobster,244
Cobblestone,227
Carib Brewery,455
Andy Capp's fries,234
Red Lobster,163
KFC,194
Secret Recipe,143
Papadopoulos,416
Wendy's,252
Kits,357
Red Lobster,489
Soprole,286
Dr. Oetker,192
Kits,465
Dr. Oetker,108
Papadopoulos,487
Bewley's,209
Taco Bell,336
Dr. Oetker,312
Taco Bell,182
Olymel,397
Dunkin' Donuts,346
Cheetos,169
Tic Tac,213
Papadopoulos,393
Pizza Hut,348
Heinz,273
Carib Brewery,152
Soprole,408
Nabisco,401
Knorr,383
Bel Group,84
Soprole,485
LEonidas,472
Dunkin' Donuts,444
Andy Capp's fries,245
Nutella,395
McDonald's,244
Cobblestone,74
Kits,456
Domino,363
Wonder Bread,223
Bewley's,438
Olymel,159
Bel Group,198
Nutella,210
Lavazza,391
Domino,251
McDonald's,309
KFC,275
Doritos,465
Soprole,337
Nesquik,474
Bewley's,55
Wendy's,345
Nutella,348
Bewley's,195
Cobblestone,114
Cobblestone,444
Cobblestone,438
Betty Crocker,202
Andy Capp's fries,193
Vitta Foods,186
Carib Brewery,117
Secret Recipe,70
Nutella,386
Baskin robbins,300
Red Lobster,288
Applebee's,396
Subway,415
Nesquik,130
Nabisco,324
Burger King,164
Sun-Pat,64
Burger King,189
Nesquik,335
Bel Group,80
Soprole,205
Bel Group,227
Andy Capp's fries,410
Tic Tac,322
Doritos,480
Bewley's,119
Taco Bell,131
Nesquik,408
Dr. Oetker,302
M&M Food Market,279
Betty Crocker,317
Carib Brewery,78
Starbucks,366
Doritos,69
Soprole,52
KFC,178
McDonald's,74
Knorr,443
Subway,315
Carib Brewery,265
KFC,276
Cheetos,178
Tic Tac,173
Soprole,246
KFC,335
Dr. Oetker,300
Kinder,384
Secret Recipe,108
Bel Group,134
McDonald's,489
Nesquik,419
Starbucks,360
Kinder,252
Andy Capp's fries,268
Lavazza,153
Papadopoulos,306
Cheetos,102
LEonidas,164
Nesquik,415
Olymel,328
Applebee's,161
Nesquik,88
Tic Tac,218
Bel Group,388
Bewley's,366
Sun-Pat,91
Carib Brewery,101
Lavazza,106
Sun-Pat,406
Bel Group,240
Sun-Pat,152
Carib Brewery,364
Nesquik,311
Carib Brewery,465
Olymel,76
Wendy's,246
Applebee's,447
Applebee's,441
Doritos,410
Knorr,343
Red Lobster,458
Bewley's,341
M&M Food Market,240
Cheetos,210
Bewley's,247
Dunkin' Donuts,193
Taco Bell,394
Wendy's,393
Dr. Oetker,237
Vitta Foods,173
Subway,195
LEonidas,358
Doritos,133
Carib Brewery,141
Baskin robbins,272
Burger King,416
Vitta Foods,322
Nabisco,367
Cheetos,248
Carib Brewery,362
Nesquik,378
Dr. Oetker,383
Burger King,364
Starbucks,155
Starbucks,150
Soprole,180
Knorr,302
Lavazza,445
Cobblestone,76
Vitta Foods,239
Cobblestone,174
Nabisco,166
Wendy's,420
Lavazza,475
Taco Bell,184
Subway,373
Cobblestone,173
Olymel,301
Dr. Oetker,424
Bel Group,493
Secret Recipe,436
Cobblestone,456
Heinz,108
Applebee's,228
Nabisco,204
Pizza Hut,241
Cheetos,352
Lavazza,420
McDonald's,460
Soprole,318
Cobblestone,472
Doritos,311
KFC,494
Vitta Foods,301
Pizza Hut,412
Soprole,276
Heinz,489
Nesquik,261
Vitta Foods,196
Cheetos,450
Knorr,485
Doritos,140
KFC,434
Nabisco,344
Nutella,207
Kits,159
Nesquik,350
Dunkin' Donuts,213
Dr. Oetker,384
Vitta Foods,408
Dr. Oetker,240
Wendy's,246
Sun-Pat,439
Sun-Pat,275
Taco Bell,452
Tic Tac,129
Burger King,424
Betty Crocker,215
Nabisco,270
Dunkin' Donuts,91
Bewley's,188
Dunkin' Donuts,66
Bewley's,267
Wonder Bread,107
Cobblestone,390
Secret Recipe,143
Pizza Hut,354
Soprole,237
Vitta Foods,170
LEonidas,77
Nabisco,383
Nesquik,57
Cheetos,445
Magnum,175
Nutella,176
Baskin robbins,355
Carib Brewery,439
Kits,436
Betty Crocker,488
Doritos,110
Cheetos,276
Olymel,408
M&M Food Market,348
Magnum,391
Nesquik,202
Wonder Bread,485
Nutella,316
Tic Tac,52
Red Lobster,334
Taco Bell,441
Andy Capp's fries,102
Red Lobster,70
Sun-Pat,330
Nesquik,275
Sun-Pat,438
Dunkin' Donuts,492
LEonidas,252
M&M Food Market,374
LEonidas,187
Burger King,416
Kits,70
Dr. Oetker,306
Tic Tac,121
Betty Crocker,274
Applebee's,69
Dunkin' Donuts,114
Burger King,416
Domino,209
Subway,108
Dr. Oetker,485
Taco Bell,188
Baskin robbins,161
Doritos,242
Pizza Hut,255
Wendy's,115
Burger King,454
Red Lobster,383
Heinz,334
KFC,341
Olymel,261
Knorr,328
McDonald's,312
Red Lobster,274
LEonidas,395
Applebee's,156
Burger King,247
Baskin robbins,255
Bel Group,393
Nutella,464
Tic Tac,249
Betty Crocker,192
McDonald's,434
M&M Food Market,389
KFC,353
Wendy's,420
Wonder Bread,337
Vitta Foods,363
Nesquik,467
Heinz,296
Kinder,139
Tic Tac,327
Domino,394
Soprole,50
Betty Crocker,387
Cheetos,65
Soprole,62
Betty Crocker,379
Doritos,290
Nesquik,342
Applebee's,254
LEonidas,450
Bewley's,126
Knorr,409
Cheetos,249
Cobblestone,202
Vitta Foods,215
Starbucks,353
LEonidas,120
Tic Tac,379
Baskin robbins,321
Applebee's,134
Red Lobster,491
Nesquik,219
Tic Tac,150
Wendy's,311
Magnum,120
LEonidas,312
Dunkin' Donuts,486
Tic Tac,181
KFC,459
Papadopoulos,192
Wonder Bread,110
Carib Brewery,207
Baskin robbins,94
Dr. Oetker,292
Andy Capp's fries,224
McDonald's,218
Domino,218
Doritos,396
Kits,253
KFC,167
Domino,392
Papadopoulos,411
Heinz,184
Kinder,324
Subway,303
Heinz,155
Carib Brewery,354
Betty Crocker,80
Nutella,391
Nabisco,394
Kits,257
Starbucks,239
Dunkin' Donuts,136
Baskin robbins,168
Subway,93
Nabisco,266
Applebee's,165
Tic Tac,341
M&M Food Market,172
Taco Bell,430
Kits,293
Bel Group,102
M&M Food Market,171
Subway,402
M&M Food Market,329
Tic Tac,187
Nabisco,125
Olymel,492
Tic Tac,100
Dr. Oetker,323
Olymel,398
Cobblestone,137
Cobblestone,192
Bel Group,423
Heinz,109
Cheetos,334
Red Lobster,224
Doritos,288
Red Lobster,403
Knorr,221
Nutella,202
Andy Capp's fries,347
Nabisco,465
Bel Group,414
Kits,451
Heinz,270
Nesquik,473
Andy Capp's fries,179
Red Lobster,74
Betty Crocker,173
Wendy's,256
Applebee's,258
Dr. Oetker,154
Carib Brewery,425
Domino,346
Betty Crocker,83
Subway,396
Doritos,427
Nesquik,350
